字號,字
3705,咳
3706,頦
3712,鰓
3716,顋
3720,皚
3724,隑
3726,獃
3730,懛
3733,真
3734,甄
3735,振
3737,稹
3744,唇
3753,因
3754,茵
3755,鞇
3762,氤
3763,絪
3768,洇
3769,姻
3770,婣
3776,新
3777,辛
3778,薪
3779,辰
3780,晨
3781,䢅
3783,宸
3789,臣
3792,仁
3794,人
3795,神
3797,親
3798,寴
3799,𡪔
3803,申
3804,伸
3805,紳
3806,娠
3807,呻
3808,𣢘
3809,𠲳
3815,身
3819,賓
3820,𧶉
3821,濱
3822,檳
3825,儐
3829,㷠
3830,燐
3831,鄰
3832,轔
3833,嶙
3834,粼
3835,磷
3837,麟
3838,麐
3839,鱗
3847,壣
3851,潾
3857,珍
3860,陳
3861,敶
3864,塵
3865,津
3866,𦪉
3870,瞋
3871,嗔
3872,謓
3876,秦
3879,寅
3880,夤
3885,紉
3886,繽
3891,頻
3892,蘋
3893,薲
3894,嬪
3905,銀
3906,㹞
3907,狺
3921,巾
3922,麏
3923,麇
3924,麕
3926,莙
3928,筠
3940,岷
3942,閩
3943,緡
3946,旻
3950,汶
3951,㨉
3958,貧
3959,𡧋
3967,彬
3968,斌
3969,份
3980,民
3983,泯
3985,諄
3986,惇
3988,肫
3990,椿
4000,荀
4002,詢
4008,恂
4014,純
4016,蒓
4017,醇
4018,鶉
4023,淳
4031,脣
4036,淪
4037,倫
4038,論
4040,輪
4043,蜦
4045,綸
4047,侖
4049,掄
4056,竣
4057,皴
4065,遵
4070,春
4072,勻
4074,旬
4075,𠣙
4076,巡
4077,馴
4078,循
4092,均
4093,鈞
4100,臻
4101,蓁
4105,𣓀
4106,榛
4107,樼
4111,莘
4134,文
4135,聞
4136,𦖫
4138,紋
4139,雯
4141,蟁
4142,蚊
4143,䘇
4144,䰚
4149,閩
4150,雲
4152,蕓
4153,𦔐
4154,𦓷
4155,耘
4158,紜
4161,云
4164,員
4165,𪔅
4182,汾
4183,墳
4184,氛
4190,焚
4191,燌
4193,豶
4202,棼
4216,鼢
4217,蚡
4219,分
4222,扮
4225,羣
4226,帬
4227,裠
4230,薰
4231,曛
4232,勳
4233,勛
4234,熏
4235,燻
4238,醺
4239,葷
4242,君
4243,軍
4244,皸
4247,莙
4250,芬
4251,紛
4256,棻
4259,氛
4260,雰
4263,欣
4264,忻
4265,昕
4266,訢
4269,殷
4273,勤
4274,芹
4282,斤
4283,筋
4284,䈥
4290,齗
4291,齦
4298,元
4299,原
4301,源
4302,𠫐
4305,沅
4307,黿
4311,芫
4318,阮
4320,袁
4321,爰
4322,垣
4324,園
4325,援
4327,轅
4329,媛
4333,蝯
4334,猨
4335,猿
4336,煩
4337,番
4338,𨆌
4339,蹯
4340,繁
4343,樊
4352,蟠
4353,蕃
4355,礬
4359,璠
4373,藩
4374,飜
4375,翻
4377,番
4378,幡
4384,藩
4385,暄
4388,萱
4391,塤
4392,壎
4396,喧
4404,鴛
4405,冤
4415,怨
4422,言
4429,軒
4430,掀
4441,犍
4447,蔫
4448,焉
4449,蕃
4450,藩
4458,䰟
4462,餛
4463,餫
4467,渾
4481,琿
4482,昆
4483,晜
4484,𥊽
4488,崐
4489,琨
4490,鵾
4491,鶤
4492,鯤
4497,錕
4503,溫
4507,殟
4515,門
4516,捫
4519,璊
4528,孫
4529,蓀
4532,猻
4534,尊
4535,罇
4536,樽
4539,存
4540,蹲
4544,敦
4548,驐
4549,墩
4552,燉
4558,屯
4559,豚
4560,㹠
4561,豘
4563,臀
4564,𡱂
4565,𦞠
4566,𩪡
4568,飩
4571,沌
4572,邨
4573,燉
4580,村
4585,盆
4589,奔
4592,犇
4593,論
4594,崘
4595,掄
4597,坤
4598,𡿦
4599,髡
4604,昏
4606,婚
4611,濆
4612,噴
4615,痕
4619,根
4620,跟
4621,𣥦
4623,恩
4626,吞
4630,寒
4631,𩏑
4635,邯
4645,單
4647,鄲
4648,丹
4653,癉
4655,安
4657,鞌
4660,難
4661,𪅀
4662,𩁢
4663,𩁚
4664,餐
4665,湌
4667,灘
4669,嘆
4673,攤
4678,跚
4679,珊
4680,姍
4682,壇
4683,檀
4687,彈
4690,但
4697,殘
4700,戔
4704,干
4705,乾
4706,漧
4707,竿
4708,肝
4709,奸
4720,蘭
4721,瀾
4722,闌
4723,讕
4724,攔
4728,欄
4731,㘓
4732,看
4733,𥉏
4734,栞
4735,𣓁
4738,刊
4740,鼾
4742,桓
4743,完
4746,丸
4748,紈
4758,莞
4773,刓
4783,端
4794,剜
4796,豌
4797,蜿
4798,帵
4802,湍
4808,酸
4813,團
4823,摶
4834,官
4837,棺
4838,觀
4840,冠
4842,倌
4844,鑾
4845,鸞
4846,巒
4847,欒
4852,臠
4853,灤
4858,歡
4859,懽
4866,獾
4871,寬
4873,鑽
4879,槃
4880,盤
4881,鎜
4882,柈
4883,瘢
4884,磻
4886,磐
4888,般
4897,蟠
4902,瞞
4903,顢
4904,謾
4906,䊡
4907,饅
4908,慲
4913,鞔
4915,鰻
4916,曼
4917,蔓
4926,潘
4933,般
4936,刪
4937,訕
4938,潸
4941,關
4942,関
4947,彎
4948,灣
4952,𣠯
4953,還
4954,環
4956,鬟
4957,寰
4973,班
4974,頒
4978,斑
4979,辬
4981,般
4984,扳
4986,蠻
4989,鬘
4993,顏
4995,姦
4996,菅
4999,攀
5000,扳
5004,頑
5009,山
5010,疝
5012,鰥
5015,閒
5016,艱
5017,囏
5021,閑
5023,癇
5027,鷳
5030,慳
5039,潺
5040,孱
5047,𤡥
5057,斕
5074,先
5078,前
5079,歬
5084,千
